id,.pred_anger,.pred_fear,.pred_joy,.pred_love,.pred_sadness,.pred_surprise
84,0.402006549,0.247019237,0.150103422,0.007948569,0.191330159,0.001592063
2701,0.397182243,0.251937339,0.182512192,0.009143022,0.15858687,0.000638333
1513,0.141943616,0.05252221,0.371284074,0.246328287,0.156131453,0.03179036
1342,0.431629448,0.263920163,0.179164407,0.007459938,0.116928142,0.000897902
11,0.11780343,0.08094149,0.079621685,0.004975665,0.048100348,0.668557382
100,0.15456624,0.065319778,0.401682942,0.23631409,0.125166132,0.016950818
145,0.423313463,0.265371499,0.193831611,0.006135346,0.109527958,0.001820124
2641,0.395766288,0.300519602,0.161245648,0.00527326,0.135448454,0.001746747
2542,0.432803513,0.262865355,0.18345922,0.006180219,0.11308268,0.001609013
1023,0.401831088,0.31768516,0.148907817,0.00406913,0.126913976,0.00059283
37106,0.427078115,0.285325578,0.167155766,0.003334804,0.115763673,0.001342063
26184,0.458147548,0.213803121,0.189432545,0.018028469,0.117240416,0.003347902
43,0.18630167,0.549882794,0.073322116,0.011154899,0.078910529,0.100427992
16389,0.420332972,0.27642469,0.19538513,0.003451761,0.104013384,0.000392063
844,0.359827717,0.216514385,0.301316152,0.007760617,0.110536763,0.004044366
174,0.428633397,0.282553048,0.150996209,0.00609547,0.130586379,0.001135498
6761,0.360163029,0.305578966,0.167344301,0.009183473,0.157124393,0.000605838
394,0.398489252,0.242537506,0.151315637,0.012247312,0.194331323,0.001078968
6593,0.442653713,0.2625162,0.165255476,0.002610245,0.126483413,0.000480952
2554,0.420988636,0.238479631,0.159061476,0.007358571,0.173239181,0.000872505
2160,0.434192163,0.26619042,0.189832208,0.003733349,0.105753958,0.000297902
4085,0.41412752,0.236955438,0.170405309,0.010030496,0.166986509,0.001494727
345,0.398732615,0.276556437,0.17052525,0.008194205,0.145235936,0.000755556
1259,0.430661474,0.250317547,0.175959167,0.005611061,0.132308688,0.005142063
5197,0.394702978,0.246297029,0.190399737,0.007495069,0.157662025,0.003443162
98,0.422303139,0.29022265,0.150039867,0.003922409,0.132986538,0.000525397
1260,0.421729376,0.245646568,0.194225144,0.006526802,0.129672111,0.0022
1998,0.436400091,0.208423084,0.216732177,0.011174953,0.125894412,0.001375282
5200,0.46075736,0.21345566,0.204629815,0.004442269,0.113089218,0.003625679
1400,0.369838874,0.276503407,0.168606282,0.009044167,0.172869686,0.003137584
76,0.384768183,0.247618035,0.181938005,0.013242116,0.169508265,0.002925397
28054,0.404914069,0.284076675,0.172000401,0.018169335,0.119765406,0.001074115
